,id,comment,reviews,ratings,negative,neutral,positive,review_type
10,10,Brilliant,"People talk about it’s battery backup?? man I’m in love with this handset. So clean, so smooth. Smoother than xr if you’ve used both you’ll understand. Camera better than xr. Battery of xr is better but still I’ll vote for se because of A13 Bionic chip, touch haptics and many more reasons. Its a beast in this segment. Still I want you all to feel this beast in your hand. Sexy as it looks, just a perfect masterpiece.",5,0.0090248985,0.019695727,0.9712794,1
11,11,Wonderful,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you...",4,0.016014144,0.08291151,0.9010744,1
12,12,Value-for-money,"Camera is best. Mobile performance is good. 4.7 inch display phone is handy phone. Battery capacity is not good but in this range phone is good . Dual sim phone and one sim slot supported eSim. Better series in iPhone is X ,XS ,XR and 11. Software iOS 14.3 is latest.",4,0.0058051846,0.039272424,0.9549224,1
13,13,Nice product,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ...",4,0.27552265,0.547659,0.17681836,0
14,14,Best in the market!,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones.",5,0.0058166767,0.015602921,0.97858036,1
15,15,Just wow!,"iPhone SE 2020 Looks premium😍 Battery:-Most of the people think it’s only 1800 mAh battery???? Is it sufficient??🧐After 8 days of usage ..! in 100%chargeI have played lots of game especially pubg3Hrs of pubg with fully charge6Hrs of Heavy usages also played 1Hrs of pubg14Hrs with normal usage like .,movie,what app,Fb,Instagram and Twitter and callCharging time:- takes more than 2.5hrs with box charger and with 12w 1.50Hrs Performance:- Same like iPhone 11,11pro,11pro max (A13bionic...",5,0.017745415,0.19435951,0.787895,1
16,16,Unsatisfactory,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.,1,0.12275091,0.47888824,0.39836082,0
17,17,Just wow!,"Small yet powerful phone. I am posting this review after nearly 1 month of usage.1. Performance of the phone is awesome. There is no lag experienced in using any application, games, etc.2. Battery of the phone is good. It easily lasts 1 day with full day usage of internet like mails, apps, photos, surfing, etc and calling also. This phone is for moderate phone users not gamers ( from battery point of view) . Else you may have to charge it twice a day for heavy usage. For moderate users lik...",5,0.0056699477,0.036083896,0.95824623,1
18,18,Perfect product!,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!",5,0.011900448,0.04824135,0.93985826,1
19,19,Wonderful,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation.",5,0.0037248586,0.020346748,0.97592837,1
20,20,Best in the market!,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr...",5,0.032317,0.23019078,0.7374922,1
21,21,Classy product,"First of all we will talk about battery it has 1800 mah battery ,but u know what it works like 4000 mah truly amazing phone with optical image stabilisation in video with editing option 64 gb variant is too good go for it",5,0.0055367877,0.036510672,0.9579525,1
22,22,Best in this budget,"This is an amazing phone for the price. For someone coming from a pure Android background, migrating data would take a little time, and the battery backup may be quite less for the first 1-2 days. Once it is all set, I felt that the phone gives a decent battery backup. The backup with the ~1800mAh battery on this phone is somewhat comparable to that of an Android with twice the capacity.Camera is amazing for my use, as the lighting and colour tone are Natural, close to what we would see with...",5,0.016609525,0.07708999,0.9063004,1
23,23,Just wow!,"I switched from iPhone 8 to iPhone SE instead of going for iPhone 11 since SE comes with same power and great camera with a device size I can easily use and hold in my single hand. I got this delivered within one day of being available in India and it’s just great. I am a big fan of iOS and I’m deep into the Apple ecosystem with my iPad, MacBook, AirPods and an old iPod and I’m not disappointed here too. To those of you who are wondering how is it different from iPhone 8 since it practically ...",5,0.0051907254,0.04679716,0.94801205,1
24,24,Terrific,"This is my first iPhone. And after using it for 6 continuous days the difference between my previous Sony XZS Android and this iPhone is easily noticeable.  The camera is better in every way. The only thing I miss about my previous phone is the 960 frame/sec super slow motion recording. Performance is way too better than android. This is fast, very very fast. If your eyes are not glued with the screen the battery life is ok. In fact this is the only issue with this phone. This one fits in my ...",5,0.0075127548,0.035918724,0.9565686,1
25,25,Perfect product!,Finally most awaited first iPhone came within 3 days of order iPhone SE in one line A powerful performance in compact design and affordable ratesFirst iPhone in life where you compare each and every functionality with your previous android phone.Pros * Powerful chip at affordable price * Suitable who want to back to having experience of compact screen phone without bazzels.* Powerful camera experience with A13 Bionic chip image processing power* My personally favourite I always pref...,5,0.0027547819,0.024458949,0.97278625,1
26,26,Just wow!,Most amazing camera in iphone 👌 that is my personal ask I'm Finally buy my First i phone and that latest processor and All new things amazed you it's sooo Handy and enjoyable to Use. And beat other I phones now so enjoyed it.,5,0.0033793699,0.009567314,0.98705333,1
27,27,Awesome,"Brilliant performance everything is best if you compatible with small screen but battery is average , premium looks sound quality awesome handy phone camera quality ❤️❤️❤️Thanks flipkart.",5,0.005517777,0.014047163,0.980435,1
28,28,Does the job,"Writing this review after around 1 week of use.Updating this review after a further 2 weeks of use.Initially, there was some heating on the phone, but on further use that problem has disappeared. Got to explore the camera a bit more and found it to be very good, the stability on the video is also good.Pros -      1. Good Camera Quality. Image quality is very good. Pictures are sharp. Good performance in bokeh mode.      2. Good performance. The phone has no lags so far, it is very smoo...",3,0.012101245,0.14622107,0.8416777,1
29,29,Go for it without any hesitation.,"Honest advice  :  Don't watch any tech reviewer's videos before buying this beast.I purchased this product on 6th June,2020 and here is my honest review :1. Device looks small but the way it works is truly amazing.2. if you are switching from ~6"" screen , it is going to be troublesome for a while.3. 1821  mah battery . 0 to 100% charging time is around 130 minutes. Fast charging/wireless charging is supported but fast charger is not included in box.4. Gaming Experience is amazing BUT p...",4,0.06762774,0.29377973,0.6385925,1
30,30,Mind-blowing purchase,"This is a beast. Smaller yet powerful. Sleek design and a Beauty.I will give straight reason for:Why to buy?1. If you want an iPhone2. If this is your first one3. If you want a small screen phone just for working purpose no entertainment4. If you have another phone as backup5. If you have other apple products and you want to pair this up as your latest purchase.6. If you have a decent 42k to spend without any second thought.Why not to buy?1. Battery drain, and low battery capacity...",5,0.019311232,0.1926884,0.7880004,1
31,31,Very Good,Got it yesterday 11 June ordered on 30may seller shipped on 7 June What’s happening Flipkart ? Coming to the phone. I switched from my old Se .CAMERA: it’s just Awesome in every way but those portraits lighting effects are of no use obviously mostly they won’t be used by anyone BATTERY: it’s just average it only remains for 6 to 8 hours of moderate usage DISPLAY: coming from four inch screen to 4.7 I feel like it’s huge and fair enough ( I always prefer compact phones ) Touch ID : it’s...,4,0.07438479,0.58719665,0.33841848,0
32,32,Brilliant,For ppl who prefer small displays this is the ryt choice neat n clean  top notch performance ......FOR THOSE WHO R CONCERNED ABOUT BATTERY This has 1821mAh battery but combined with a13 chip efficency is top notch . Use 10W charger which comes with ipad or buy separately within 45 mins phone charger from 0-80% The 5w included in box is waste good for nothing. Switch off optimised battery charging under battery health settings so 80-100% will b charged quickly.I use social media apps l...,5,0.021796022,0.21960342,0.75860053,1
33,33,Awesome,"I jumped from old SE to the new SE.the screen to body sized ratio is perfect for usage for a medium size palm. The highlight of this product is it’s elegance and sleek design. Looks so good in white colour. Performance is well packed with well coordinated GPU and CPU. If u are using bezel less phones then u might not consider it. But if u have decided to buy it then this product will bring a huge smile on your face in terms of speed, CAMERA, looks, iOS ecosystem and longevity of this devic...",5,0.0044574994,0.026175033,0.9693674,1
34,34,Good phone for the price,"Some might say overpriced in India, but below are the PROS and CONS after 3 days of usage:Pros:1. Blazing fast processor. Runs everything thrown at it without a stutter.2. Very good single camera for daylight photography. Night time is good but not great.3. Optimal screen size for a phone for one hand use.4. Brilliant looks5. Battery life is one day when used like a phone. Watch various youtube videos to increase battery life. Optimal use of battery saver mode and screen brightness can...",5,0.04702125,0.37600207,0.57697666,0
35,35,Super!,"My first iPhone and very happy with it. Slick and gorgeous design with perfect compact mobile. Performance is so amazing ,display softness more than 5 *. Little bit battery issues for fast drains like need to charge once in a 12 hours. May be this will solve out in next update. Definitely worth to buy than other brands.",5,0.0050040577,0.01464893,0.98034704,1
36,36,Value-for-money,This is the first iPhone I hv bought .. It’s bit diff for me using this first first as for so many years I hv been using android.. but I am actually liking it .. The camera omg it’s really awesome .. like it feels classy using this .. Battery is also as of now good enough .. I am writing this review after using it for 40 days.. if anyone is thinking of buying this pls go for it .. Thanks.,4,0.0045932503,0.024796367,0.9706104,1
37,37,Terrific,"One of the best handsets, very easy to carry & handle. Exceptional performance & amazing display, however battery is the only concern. It consumes more battery when you use internet, especially streaming videos and also while taking pictures. Otherwise everything thing is perfect. People who don’t like to carry big handsets on pocket can definitely go for this. But remember if you play more games or if u r always on internet you might need to carry a fast charger.",5,0.010977033,0.045846432,0.9431765,1
38,38,Super!,"After using this Device as my daily driver for over a month i can say that , It’s inbuilt AI and Machine Learning is so good that it manages all my things by itself, and even after having a small battery of 1800 MAH, it performs all day with some juice left, which is impressive. Awesome Camera, amazing Performance thanks to A13 Bionic. Suggestion go for 128GB it will help you in long run. Overall a very good and nice product.",5,0.0040862407,0.019692708,0.9762211,1
39,39,Must buy!,"Very nice phone. Actually it's my first iPhone so I was very excited. Nd I'm happy with this phone.Nice phone for gaming, battery backup is not that much for gaming but I suggest buy one good powerbank or fast charger. If u have small fingers then it's best device for u.",5,0.0030425817,0.010164719,0.9867927,1
40,40,Brilliant,"Very handy and comfortable to hold. Best phone to buy if you want sleek design, powerfull processor, beautiful camera and that's fits in your pocket. I didn't hesitate while buying this phone instead of oneplus 8. Afterall its your choice whether you want a phone or a tab sized phone.P.S.- it's not that small.",5,0.004954014,0.026696814,0.9683491,1
41,41,Simply awesome,I really love to use ios😍..Apple is my Favourite brand 🔥... I really love this phone. It was easy to hold and It was very fast processing mobile. In Future I will always purchase Apple mobile😍 Thank You Apple and Flipkart.,5,0.0026113582,0.006815212,0.99057347,1
42,42,Highly recommended,best compact phone i ever have.It has pretty good camera and performance.I have iphone 11pro but now i fall in love with this phone.Best phone👍👍.Go for it if u love small size phone👍👍👍,5,0.0036046503,0.010931655,0.9854637,1
43,43,Great product,Honestly best package from apple. Super handy. I don't like big phones. This phone is perfect for me and would definately recommend to everybody. If you compare antutu and geekbench scores with of iphone 11; this easily beats the iphone 11.,5,0.0056978627,0.014482915,0.97981924,1
44,44,Good choice,Very good phone for regular usage camera is outstanding with A13 boinic chip. Value for money set. Battery is not that much perfect but over all a good and handy smartphone i had ever seen.,4,0.00509767,0.018122394,0.97678,1
45,45,Very Good,Update : I’m getting close to 7 hrs screen on time on single charge. Of course without any games. Everything is good except battery and Night camera capabilities.Performance is top notchI’m using Motorola power delivery charger with usb c to lightning cable to fast charge it.Brought motorola usb c power delivery charger for my iPhone SE 2020I’m using this along with Amazonbasics usb c to lightening cable.Its awesome and following are the charging stats :15 min 0 to 30%27 min 0 to 50...,4,0.0049814787,0.065402344,0.92961615,1
46,46,Value-for-money,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating,4,0.0065250164,0.03656786,0.95690715,1
47,47,Highly recommended,"Best phone for those using Iphone 6,6s,7,8And best camera and best portrait mode with A13 Bio chip, Very smooth Touch and Best features with value of money.",5,0.0035212894,0.0276409,0.96883786,1
48,48,Terrific,"My first iphone ......,I just switched my vivo S1 pro to iphone SE 2 2020 and I would like to say something about this iphone ..It's amazing .Those guys who want a cute small and handy phone so just go for this iphone. 🤘🤘🤘❤️",5,0.0023381843,0.0130564775,0.9846053,1
49,49,Value-for-money,Battery will give good performance for a normal userI suggest another variant for heavy usersCam quality is good in day light conditions Performance is very good with A13 Bionic chipSmall in size and don’t expect a screen size like MI or one plus full screen mobiles,4,0.004408327,0.057653856,0.9379378,1
50,50,Highly recommended,Each and every Paisa you is worthyCamera section is a great upgrade Performance is a beastIt’s just a old design but still amazing design to hold in hand.I upgraded from old SE and satisfied to the core,5,0.005644363,0.015708644,0.978647,1
51,51,Brilliant,So fast as light  classy premium look  at affordable price thank you flipkart for easy delivery,5,0.004097796,0.020625455,0.97527677,1
52,52,Good choice,"ProsClassy performance , sensitive touch , good sound quality , beautiful design , compact and comfortable,Good quality Camera, Battery backup is normal.ConsPhone is overheating this is something not expected from APPLE Bit disappointing.Selfi photo click flips automatically so sometimes photos are weird. Wish there is a setting not to flip before foto click.",4,0.16918534,0.2436403,0.58717436,0
53,53,Perfect product!,"Speed is Awesome , high quality Camera with portrait mode , more handy than big screen mobiles, Premium look & design , sound quality is boom , very happy After purchase this",5,0.003196922,0.011446782,0.9853563,1
54,54,Wonderful,"Well, the phone is small and looks nice. It's not for people who loves bigger ones. It's basically for those people who don't use their phones for everything.It's fast.design is cool, sleek and beautiful. You will need a back cover for sure if you want to keep up it's beauty. P:)battery life - not so good. voice clarity is fine.I am not a gamer neither a photographer.Basically it;s a premium phone under budget so that you can say it loud - "" Hey! I own an Apple device"". If somebody is ...",4,0.055576876,0.19488828,0.74953485,1
55,55,Perfect product!,"This Phone is Simply Brilliant.The fastest mobile processor from Apple, A13 bionic chip can tackle any task without breaking a sweat. The CLASSIC Design is the reason to buy this phone as it is so easy for one hand operation. Camera performance and Battery backup has been improved significantly over the predecessor. Definetely a Value for your Buck.",5,0.004625974,0.0153245805,0.9800495,1
56,56,Worth every penny,Best model if you wish to enter the Apple ecosystem. Flawless product and seamless experience. I love this phone.,5,0.0028004278,0.008941355,0.9882583,1
57,57,Best in the market!,"Hey iPhone lovers. If you like small phone you'll love it. A13 performed like a beast. Performance is top notch. If your budget tight, then go for it. You never disappoint after use it. And Apple iPhone security is best.",5,0.0044069053,0.015371558,0.9802215,1
58,58,Classy product,One of Best phone in 2020..Excellent Camera and Performance..battery also good without Games..Thanks u Flipkart Best offer and fastest delivery .,5,0.0040224935,0.0134071605,0.98257035,1
59,59,Terrible product,It’s not good product ...it’s cost is more quality is not good every time is hangout..battery consumption is more at least half day also not get in ...finally my best suggestion is choose another one...,1,0.94424284,0.04961549,0.0061416095,0
60,60,Terrific purchase,Excellent phone from Apple... Almost same like iPhone 7 and 8 with latest processor. I can feel the speed very much compared to the iPhone 6s. It’s awesome budget phone from iPhone family.,5,0.0035567845,0.011410958,0.9850323,1
61,61,Wonderful,"Performance is top notch, battery is full day easily after disabling background app Refresh ( it doesn’t effect any functionality) and some other tweaks. Camera is fantastic overall value for money if you get this in offer.",4,0.008274208,0.04470478,0.947021,1
62,62,Very Good,"Amazing phone, loved it, only issue is gets hot too much and too early. Otherwise a very good buy",4,0.022918705,0.049474142,0.9276072,1
63,63,Great product,"Excellent phone , flawless performance The massive upgrade for the user who are using the iphone SE ( 1 gen) just like me",5,0.0028224122,0.014053231,0.9831244,1
64,64,Super!,"This is good phone for someone who never used iphone yet but of someone using/used any one of iphone 6 , 7 and/or 8 then there is no much difference between the features except performance. With the provided features the price is too high for this phone. If someone is looking for upgrading then I would strongly suggest you to go for iPhone XS or later versions. This is completely my own opinion and please read other reviews as well before making a decision to purchase this product.",5,0.06621234,0.27737498,0.65641266,1
65,65,Super!Little Champ is here!,"In one word its Superb, Ignore negetive comments regarding Battery life,Its stays easyly a day for Ofiicial work Purpose.Build quality,Camera,Speaker Out put(Earpiece and Phone speaker)is top notch and apple airpod is just cherry on top..i have switched from 6 inch display to this phone not at all any issue.super smooth ios a big thumps up! overall its a fantastic gadget.",5,0.009290749,0.031552423,0.9591568,1
66,66,Worth the money,Can be surely preferred as your first iphone Value for money Some what battery is not sufficient but as we already know about the batteries of iphone Camera is up to mark but there is insufficiency of night mode wideangle mode but that’s ok its not a big deal Display performance is good enough Overall lookup is impressive and off course attractive Speakers are mind blowing dual speaker setup which is quite loud compared to others At this price range this phone is best if you are intere...,4,0.026979845,0.26569563,0.7073245,1
67,67,Perfecto !,"1 Week after using the phone I am Simply Loving it!I did a lot of research and was confused in Iphone XR, SE 2020 and One plus 8If you are Ok with older design/big bezels or looking for GREAT Camera in budget phone or moving from Android to IOS, this phone is best for you.Camera(Portrait in selfie mode), Build quality, A13 Bionic Chip, Compact design, latest OS(software support for at least 4 years) is simply Bang On!Downs :Night mode Camera quality is not good.Battery is not the best...",5,0.005766079,0.031727917,0.96250594,1
68,68,Really Nice,"Good for normal use like browsing and not recommended for gaming because of small screen size,overall a good product from apple.",4,0.012631098,0.066646546,0.9207223,1
69,69,Value-for-money,"USP:1. Compact mobile which i always wanted in iPhone models2. Kickass A13 bionic chip , one of the best energy efficient apple processor produced till date.3. Camera is awesome to take pics (only day time) 4K videos 30/60 fps.Downside:1. Battery drain very fast.(googled and made it battery efficient) now it last atleast 1.5 day with moderate usage.Note: i would not advice this compact super mobile for people who are always glued to social media and YouTube.This is for someone who w...",4,0.023309013,0.07723903,0.8994519,1
70,70,Excellent,"Mini Black BeastWho likes handy best option with solid device and super fast performanceBattery stands for 4 to 5 hrs.Over all satisfied as a first time iPhone userFavourites in this device speed,ui, camera portrait image features, mini device with solid build.",5,0.0029714901,0.029436901,0.9675916,1
71,71,Great product,"Amazing Performance. If you are upgrading from an android, don't expect the battery life to be better. But if you upgrading from an Iphone 6, 7 or maybe 8, you will feel the difference. You can experience the speed with the A13 Bionic Chip. Camera Quality has improved. The best part is it's price. In this price you are getting a compact Iphone 11 Pro.If you are looking to own an Iphone, you should 100% go for this.",5,0.008218341,0.043578614,0.948203,1
72,72,Great product,"Firstly you all need to understand there is a crowd in this Huge Market for whom the ONLY THING WHICH MATTERS IS COMPACT SIZE. And probably phone companies are unable to understand this consumer behaviour. This market was not catered by any other company except to an extent by Google Pixel. Please remember each and every consumer who buys this phone is buying Primarily for its compact size. The dimensions are amazing, which overrides any other shortfall of the device such as battery, Screen s...",5,0.36718196,0.51968706,0.113130935,0
73,73,Terrific,"I have been an android user since the beginning! I have used phones like poco f1 which had the flagship chips at their time but honestly speaking the performance on this device is just out of the competition! I was very skeptical by some bad reviews on internet, but to my very frank opinion it exceeded my expectations! Some things to keep in mind :*This phone has not so big display and only supports upto 720p videos on YouTube, so if you watch YouTube all day and love big screens it’s not th...",5,0.014246217,0.07264793,0.9131058,1
74,74,Great product,Best product but apple could have launched it in very less price.Screensjze comparatively smallBeterry performance satisfactory Camera extra ordinarily Sensors and apps way fast and results jn blink Buy if price around 25 max,5,0.014682106,0.08803692,0.897281,1
75,75,Mind-blowing purchase,"I have been using iphones for a long time iPhone 4s - iphone 5s - iphone 6s , So when time came to change, I had to chose between iphone11 and iphone SE2020.Now I chose SE2020 and I am happy with the purchase.Main reason for choosing SE2020 was the latest CPU and fingerprint scanner.I am not comfortable with Face ID .The Phone Size seems small but for someone used to iphone 6S, it seems the same !!Don't want to admit this but well, I would have loved to get iphone 11 but then 20k i...",5,0.10598615,0.4766115,0.41740233,0
76,76,Highly recommended,I had been eagerly waiting for iPhone SE 2 ever since its news and articles started floating around techsites around a year back. I was using the iPhone SE (previous gen) back then and it worked brilliantly for two years before its Battery health went below 80%.An android user will never understand why an iPhone user sticks to their ecosystem despite them being expensive. Pros of iPhone SE 20201. A13 bionic chip - makes the phone a beast2. Camera - has portrait mode. Does the job brilli...,5,0.006441077,0.04253961,0.95101935,1
77,77,Excellent,"Here is my review about this phone but let me tell you first, what type of iPhone user i am ?I am not heavy user but my daily uses be like as follows.1. hotspot (approx 5 hrs)2. listen music (1hrs Max)3. WhatsApp (20min)4. Youtube (approx 2hrs)5. Apple Tv (approx 1 hrs)6. Safari (30 min) 7. Sudoku (1hr)I charge this iPhone at 9 pm at then charge at 11am. I hope you get an idea, whose this phone for.I am not gamer, so basically i don't have battery performance issues.Apart fro...",5,0.024026822,0.68716717,0.28880602,0
78,78,Delightful,Firstly i got this phone for 24.5k so i would say it was a good bargain for me to get my first iphone . Keeping this price in kind the performance of this phone is just awesome . I am not much of a person who consumes lot of video content for me its a device which does its jobs very nicely . Battery is bad for any average user but since i use it mostly for calls texts and some banking apps it serves the purpose. This phone is for people who dont much of their time on phone and want a compact ...,4,0.007147858,0.025380678,0.9674714,1
79,79,Brilliant,"I was aware of that this is a fantastic phone except the battary life before purchase. But I have specific use case as follows 1. I use it as business phone with lots of phone calls during a day. 2. I do not have social media presence. Even the whatsapp is not installed. (I have whatsapp on second phone which I keep it at home and it works on home wifi). I only use imessage for close family members.3. It has all my business outlook email, calender, notes, Gmail is configured to inbuilt app...",5,0.032501843,0.22037853,0.7471196,1
80,80,Terrific purchase,"Fantastic phone, in a beautiful form factor, handy, ergonomic and power packed device. Please do not go by the reviews of ""PUBG chipmunks"", who are looking for a device for gaming purposes. This is the perfect phone for no non sense every day users, who would like to make calls,browse the internet, use mail clients and do social networking.",5,0.025831234,0.08457869,0.88959014,1
81,81,Classy product,It is a very good device. You will feel how premium is it whenever you hold in your hand. It is very nice to hold. And size is just perfect! Above all it has the best camera. See the attached picture which I clicked in the evening.You should go for the red one!,5,0.003813283,0.010465134,0.9857216,1
82,82,Nice,"It's not the phone that has an issue, it's flipkart. I ordered this phone on 31st of July and promised date was 4th August. But I got the phone on 6th August. Doesn't sound like much of a delay but it becomes a lot when u have a flight coming close and flipkart says your product will be delivered before 10th August. Like I could see clearly the phone is close to me (has reached my nearest hub). Now coming to the phone the display could've been better considering the price, but it's not a bumm...",3,0.63193053,0.33398455,0.03408495,0
83,83,Fabulous!,"Was never a great birthday gift for spouse. Power pack device. A13 brings life to whole performance. Except screen size and camera, performance wise it's a comparable and affordable device in comparison with 11 pro. Camera too works way better than comparable 12MP devices.  Battery lasts full day for normal usage including couple hours of youtube videos. Great work Apple.",5,0.05094867,0.12108375,0.8279676,1
84,84,Fair,"Pros :-1. A-13 Bionic Chip....Beast in performance2. Best video camera phone under 50K3. Easy to hold, carry and one handed use4. RAM management is excellent5. Rear camera is good6. Output from speekers are too goodCons :-1. Worst battery performance...4 hours hardly on a single charge2. Still you get 5W charger in the box... While phone's cost around 42.5k...but phone does support 18w fast charging..3. No night mode available4. Design is too old5. Frot camera is not up to the ...",3,0.023481673,0.099645674,0.8768726,1
85,85,Really Nice,"Marking the return of the phone with great performance in a small form factor, this one does make it easy to love it.A well priced proposition with bang for the buck performance and the iOS level of confidence.The battery is only average but that can also be improved if you are a little more aware, than the commonwealth, of the system software customisations.All in all a good phone with a great performance and a decent battery life.",4,0.0045353803,0.02045751,0.97500706,1
86,86,Highly recommended,"iPhone is well known for slim and super platform for durability and shock proof..Those who want compact small and handy device cn go for it.It is good for email surfing, browsing, couple of videos per day.Camera quality is not superb but good in day lightVideo is extraordinary i can sayPerformance speed is tremendousBattery approx 1800mah is equivalent to 4000mah of other brands.White color stand unique in crowd.. because black color become traditional for all mobile handsets..Can go...",5,0.0051288134,0.056598734,0.9382725,1
87,87,Very Good,"Great performance....!!!!!As expected from the A13 Bionic. Battery life can be avg or good depending on personal use . Have to charge the phone at least twice a day . Best Single camera setup . It is a compact phone , not quite great for video content. Great buy for 31k .",4,0.0057517807,0.023592047,0.9706562,1
88,88,Must buy!,Best camera phone Image processing is best Best display and battery life is also best Best processor Overall best phone U can look after images also,5,0.004047284,0.02277651,0.97317624,1
89,89,Worth the money,"This is my first iPhone. I would say that coming from Android, there are some times when I feel that it is restricted in certain ways and you just have to accept it. Coming to the phone itself, camera is amazing minus the low light photography part. Battery backup is ok ok. I bought 12W Apple charger separately which charges it pretty fast so I do not worry about battery being low. Also since I am mostly at home, it doesn’t matter so much. Display is ok. Its a nice display but a small one a...",4,0.024347076,0.22165331,0.7539996,1
